question,intent
Show my recent transactions for groceries in Easypaisa.,LIVE_FINANCIAL_DATA
Is my Easypaisa account balance correct for October?,LIVE_FINANCIAL_DATA
What is my current balance in Easypaisa?,LIVE_FINANCIAL_DATA
List my savings goals progress for dining out.,LIVE_FINANCIAL_DATA
Search for entertainment transactions from today.,LIVE_FINANCIAL_DATA
Show my top spending categories for July.,LIVE_FINANCIAL_DATA
List all transactions under 500 PKR for groceries.,LIVE_FINANCIAL_DATA
Show me my Meezan account balance as of December.,LIVE_FINANCIAL_DATA
Retrieve transaction history from April for utilities.,LIVE_FINANCIAL_DATA
Show my credit transactions in Meezan from this morning.,LIVE_FINANCIAL_DATA
Show my top spending categories for September.,LIVE_FINANCIAL_DATA
Am I over my fuel budget this month?,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in January?,LIVE_FINANCIAL_DATA
Show my top spending categories for March.,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in June?,LIVE_FINANCIAL_DATA
What is my current savings rate for my food goal?,LIVE_FINANCIAL_DATA
Am I over my food budget this month?,LIVE_FINANCIAL_DATA
What is my current savings rate for my dining out goal?,LIVE_FINANCIAL_DATA
Retrieve transaction history from May for travel.,LIVE_FINANCIAL_DATA
Are there anomalies or spikes in my utilities spending?,LIVE_FINANCIAL_DATA
Show my recent transactions for dining out in Meezan.,LIVE_FINANCIAL_DATA
List my savings goals progress for travel.,LIVE_FINANCIAL_DATA
Show me my current account overview for Meezan.,LIVE_FINANCIAL_DATA
Show me my NBP account balance as of March.,LIVE_FINANCIAL_DATA
Detect any outlier transaction on my JazzCash account.,LIVE_FINANCIAL_DATA
List my savings goals progress for utilities.,LIVE_FINANCIAL_DATA
Are there anomalies or spikes in my food spending?,LIVE_FINANCIAL_DATA
What is my current balance in Alfalah?,LIVE_FINANCIAL_DATA
How much money do I have in my Alfalah wallet?,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in September?,LIVE_FINANCIAL_DATA
Show my current ROI on investments in NBP.,LIVE_FINANCIAL_DATA
What is my asset breakdown for my UBL account?,LIVE_FINANCIAL_DATA
How much money do I have in my Easypaisa wallet?,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in August?,LIVE_FINANCIAL_DATA
Am I over my shopping budget this month?,LIVE_FINANCIAL_DATA
What is my asset breakdown for my HBL account?,LIVE_FINANCIAL_DATA
How much money do I have in my JazzCash wallet?,LIVE_FINANCIAL_DATA
Did I make any payments of 1500 PKR to Speedy this morning?,LIVE_FINANCIAL_DATA
Show my top spending categories for December.,LIVE_FINANCIAL_DATA
How much money do I have in my NBP wallet?,LIVE_FINANCIAL_DATA
Show me my JazzCash account balance as of November.,LIVE_FINANCIAL_DATA
Show my credit transactions in Easypaisa from last night.,LIVE_FINANCIAL_DATA
Retrieve transaction history from November for utilities.,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in November?,LIVE_FINANCIAL_DATA
What is my asset breakdown for my Easypaisa account?,LIVE_FINANCIAL_DATA
List all transactions under 1500 PKR for rent.,LIVE_FINANCIAL_DATA
Did I make any payments of 500 PKR to KFC two days ago?,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 5000 PKR in August.,LIVE_FINANCIAL_DATA
Show me my UBL account balance as of January.,LIVE_FINANCIAL_DATA
Show my recent transactions for entertainment in Meezan.,LIVE_FINANCIAL_DATA
List my savings goals progress for food.,LIVE_FINANCIAL_DATA
How much money do I have in my SCB wallet?,LIVE_FINANCIAL_DATA
Did I make any payments of 50000 PKR to McDonalds today?,LIVE_FINANCIAL_DATA
Retrieve transaction history from July for travel.,LIVE_FINANCIAL_DATA
How much budget is left for entertainment in July?,LIVE_FINANCIAL_DATA
Is my SCB account balance correct for May?,LIVE_FINANCIAL_DATA
List all transactions under 50000 PKR for rent.,LIVE_FINANCIAL_DATA
Show my credit transactions in SCB from two days ago.,LIVE_FINANCIAL_DATA
Am I over my groceries budget this month?,LIVE_FINANCIAL_DATA
Is my SCB account balance correct for February?,LIVE_FINANCIAL_DATA
Show my top spending categories for January.,LIVE_FINANCIAL_DATA
Retrieve transaction history from February for travel.,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of September?,LIVE_FINANCIAL_DATA
What was the largest expense I recorded on fuel today?,LIVE_FINANCIAL_DATA
What was the largest expense I recorded on entertainment yesterday?,LIVE_FINANCIAL_DATA
Did I make any payments of 25000 PKR to Daraz two days ago?,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 1500 PKR in November.,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of November?,LIVE_FINANCIAL_DATA
List transactions matching Netflix under 1500 PKR.,LIVE_FINANCIAL_DATA
Check my budget utilization rate for shopping in April.,LIVE_FINANCIAL_DATA
Check my budget utilization rate for food in April.,LIVE_FINANCIAL_DATA
What is my current savings rate for my groceries goal?,LIVE_FINANCIAL_DATA
Are there anomalies or spikes in my shopping spending?,LIVE_FINANCIAL_DATA
Show my latest bank statement details for NBP.,LIVE_FINANCIAL_DATA
Is my NBP account balance correct for April?,LIVE_FINANCIAL_DATA
Search for rent transactions from two days ago.,LIVE_FINANCIAL_DATA
Did I make any payments of 25000 PKR to McDonalds yesterday?,LIVE_FINANCIAL_DATA
How much budget is left for rent in December?,LIVE_FINANCIAL_DATA
Show my top spending categories for June.,LIVE_FINANCIAL_DATA
What was the largest expense I recorded on rent last week?,LIVE_FINANCIAL_DATA
Check my budget utilization rate for fuel in January.,LIVE_FINANCIAL_DATA
Show my latest bank statement details for UBL.,LIVE_FINANCIAL_DATA
List transactions matching Uber under 10000 PKR.,LIVE_FINANCIAL_DATA
What is my current balance in UBL?,LIVE_FINANCIAL_DATA
How much budget is left for fuel in February?,LIVE_FINANCIAL_DATA
How much budget is left for entertainment in May?,LIVE_FINANCIAL_DATA
Search for shopping transactions from yesterday.,LIVE_FINANCIAL_DATA
List all transactions under 1500 PKR for food.,LIVE_FINANCIAL_DATA
Show me my current account overview for HBL.,LIVE_FINANCIAL_DATA
What is my asset breakdown for my Alfalah account?,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of February?,LIVE_FINANCIAL_DATA
Did I make any payments of 25000 PKR to Uber two days ago?,LIVE_FINANCIAL_DATA
Show me my current account overview for Alfalah.,LIVE_FINANCIAL_DATA
List transactions matching Savyour under 50000 PKR.,LIVE_FINANCIAL_DATA
Show me my SCB account balance as of August.,LIVE_FINANCIAL_DATA
List all transactions under 50000 PKR for entertainment.,LIVE_FINANCIAL_DATA
Show my current ROI on investments in Meezan.,LIVE_FINANCIAL_DATA
Am I over my rent budget this month?,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in April?,LIVE_FINANCIAL_DATA
Show my recent transactions for shopping in NBP.,LIVE_FINANCIAL_DATA
Show my credit transactions in Alfalah from last week.,LIVE_FINANCIAL_DATA
List all transactions under 50000 PKR for dining out.,LIVE_FINANCIAL_DATA
Search for utilities transactions from today.,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 1500 PKR in April.,LIVE_FINANCIAL_DATA
Detect any outlier transaction on my Meezan account.,LIVE_FINANCIAL_DATA
Did I make any payments of 500 PKR to Careem two days ago?,LIVE_FINANCIAL_DATA
Check my budget utilization rate for shopping in January.,LIVE_FINANCIAL_DATA
Detect any outlier transaction on my NBP account.,LIVE_FINANCIAL_DATA
Detect any outlier transaction on my Easypaisa account.,LIVE_FINANCIAL_DATA
Show my recent transactions for entertainment in HBL.,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in October?,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in May?,LIVE_FINANCIAL_DATA
What was the largest expense I recorded on groceries today?,LIVE_FINANCIAL_DATA
Search for entertainment transactions from yesterday.,LIVE_FINANCIAL_DATA
Did I make any payments of 5000 PKR to KFC two days ago?,LIVE_FINANCIAL_DATA
Are there anomalies or spikes in my rent spending?,LIVE_FINANCIAL_DATA
List transactions matching Spotify under 1500 PKR.,LIVE_FINANCIAL_DATA
How much budget is left for entertainment in January?,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of August?,LIVE_FINANCIAL_DATA
Check my budget utilization rate for utilities in September.,LIVE_FINANCIAL_DATA
Show me my HBL account balance as of October.,LIVE_FINANCIAL_DATA
Show me my Alfalah account balance as of October.,LIVE_FINANCIAL_DATA
Show me my current account overview for NBP.,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 50000 PKR in July.,LIVE_FINANCIAL_DATA
Did I make any payments of 500 PKR to Netflix this morning?,LIVE_FINANCIAL_DATA
Search for food transactions from yesterday.,LIVE_FINANCIAL_DATA
Retrieve transaction history from April for fuel.,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of April?,LIVE_FINANCIAL_DATA
How much budget is left for shopping in February?,LIVE_FINANCIAL_DATA
What was the largest expense I recorded on rent two days ago?,LIVE_FINANCIAL_DATA
Show me my current account overview for JazzCash.,LIVE_FINANCIAL_DATA
What was the largest expense I recorded on shopping today?,LIVE_FINANCIAL_DATA
Show my credit transactions in Alfalah from last night.,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 5000 PKR in December.,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 50000 PKR in April.,LIVE_FINANCIAL_DATA
Show my current ROI on investments in UBL.,LIVE_FINANCIAL_DATA
Detect any outlier transaction on my UBL account.,LIVE_FINANCIAL_DATA
What is my current balance in JazzCash?,LIVE_FINANCIAL_DATA
