question,api_route
Detect any anomalies in my recent spending.,/api/agent/analytics/anomalies
What is my balance sheet total?,/api/agent/analytics/net-worth
Show my overall spending limit progress.,/api/agent/analytics/budget
What is my current monthly savings rate?,/api/agent/analytics/savings
List all my linked bank account balances.,/api/agent/overview
What is the MoM change in my category expenses?,/api/agent/trends/mom
What is the MoM change for shopping?,/api/agent/trends/mom
Identify my recurring bills.,/api/agent/analytics/recurring
Retrieve transactions matching utilities.,/api/agent/transactions/search
Did you find any unusual transactions this week?,/api/agent/analytics/anomalies
Show any weird or abnormal charges on my account.,/api/agent/analytics/anomalies
Check my savings goals progression.,/api/agent/analytics/savings
List my closing balance for each of the last 6 months.,/api/agent/trends/monthly-balance
Show me outlier transactions.,/api/agent/analytics/anomalies
What did I spend on travel in SCB during January?,/api/agent/summary/expense-income
Where did most of my money go this month?,/api/agent/analytics/top-categories
Retrieve expense and income summary for April.,/api/agent/summary/expense-income
Calculate my total assets and liabilities.,/api/agent/analytics/net-worth
Show my monthly balance history for the last 3 months.,/api/agent/trends/monthly-balance
Calculate my financial runway.,/api/agent/analytics/projections
How much money do I have in my accounts?,/api/agent/overview
Retrieve expense and income summary for July.,/api/agent/summary/expense-income
Am I saving enough money this month?,/api/agent/analytics/savings
What is my projected month-end balance?,/api/agent/analytics/projections
List my highest spending categories.,/api/agent/analytics/top-categories
Search my payment logs for Careem.,/api/agent/transactions/search
Show my asset breakdown.,/api/agent/analytics/net-worth
Show my asset vs liability ratio.,/api/agent/analytics/net-worth
How close am I to my savings goal target?,/api/agent/analytics/savings
Show my investment portfolio logs.,/api/agent/analytics/investments
Give me my account balances overview.,/api/agent/overview
What are my main expense drivers this month?,/api/agent/analytics/top-categories
Is my cashflow positive or negative?,/api/agent/trends/cashflow
Show my top spending categories for this month.,/api/agent/analytics/top-categories
Calculate the return rate on my investments.,/api/agent/analytics/investments
Check my accounts for suspicious activity or charges.,/api/agent/analytics/anomalies
What are my balances in Meezan and JazzCash for February?,/api/agent/overview
Is my monthly dining out budget running out?,/api/agent/analytics/budget
What is my current cashflow trend?,/api/agent/trends/cashflow
List my monthly opening and closing balances.,/api/agent/trends/monthly-balance
Estimate my monthly recurring costs.,/api/agent/analytics/recurring
Show my projected ending balance for May.,/api/agent/analytics/projections
What is the MoM change for groceries?,/api/agent/trends/mom
Show balance fluctuations over time.,/api/agent/trends/monthly-balance
How much budget do I have left for fuel in my SCB account for March?,/api/agent/analytics/budget
List all my detected recurring subscriptions.,/api/agent/analytics/recurring
Show my recent cash deposits.,/api/agent/transactions/search
What is my total spending vs total earnings this month?,/api/agent/summary/expense-income
Search my payment logs for McDonalds.,/api/agent/transactions/search
What is my top category in November?,/api/agent/analytics/top-categories
List recurring items under fuel for my SCB card.,/api/agent/analytics/recurring
Give me my multi-month balance trend.,/api/agent/trends/monthly-balance
Did I make any purchases at Careem recently?,/api/agent/transactions/search
Calculate my overall investment returns.,/api/agent/analytics/investments
What are my balances in HBL and Easypaisa for May?,/api/agent/overview
What was my largest transaction this week?,/api/agent/summary/expense-income
Show my cashflow history logs.,/api/agent/trends/cashflow
Get statement report for July for UBL.,/api/agent/analytics/statements
What is my cashflow for JazzCash in April?,/api/agent/trends/cashflow
Calculate my current net worth in NBP as of March.,/api/agent/analytics/net-worth
Retrieve expense and income summary for August.,/api/agent/summary/expense-income
List my processed bank statements.,/api/agent/analytics/statements
Show details of my uploaded bank statements.,/api/agent/analytics/statements
Show my liabilities list.,/api/agent/analytics/net-worth
What is my overall net wealth?,/api/agent/analytics/net-worth
When is my estimated zero-balance date?,/api/agent/analytics/projections
Show my projected ending balance for October.,/api/agent/analytics/projections
Analyze my monthly income and expense cashflow.,/api/agent/trends/cashflow
List all debit transactions matching McDonalds.,/api/agent/transactions/search
List all my active savings goals.,/api/agent/analytics/savings
List recurring items under entertainment for my NBP card.,/api/agent/analytics/recurring
Show my wallet balances.,/api/agent/overview
How are my investments performing?,/api/agent/analytics/investments
Check my net worth using my UBL portfolio.,/api/agent/analytics/net-worth
Retrieve expense and income summary for October.,/api/agent/summary/expense-income
Check my budget progress.,/api/agent/analytics/budget
Check my net worth using my SCB portfolio.,/api/agent/analytics/net-worth
Show daily cashflow movement for last 30 days.,/api/agent/trends/cashflow
Do I have any active recurring subscriptions?,/api/agent/analytics/recurring
Did I make any purchases at Savyour recently?,/api/agent/transactions/search
Provide a summary of inflow and outflow for May.,/api/agent/summary/expense-income
Estimate how many days of runway I have left.,/api/agent/analytics/projections
What are my balances in Alfalah and SCB for June?,/api/agent/overview
Give me the monthly income and expense totals.,/api/agent/summary/expense-income
Show my projected ending balance for April.,/api/agent/analytics/projections
Check my total cash balance.,/api/agent/overview
Compare my spending in April vs August by category in SCB.,/api/agent/trends/mom
Provide a summary of inflow and outflow for December.,/api/agent/summary/expense-income
Show my top 5 spending areas.,/api/agent/analytics/top-categories
List all debit transactions matching Spotify.,/api/agent/transactions/search
What is my top category in March?,/api/agent/analytics/top-categories
Show investment profit for June in my HBL portfolio.,/api/agent/analytics/investments
Search all transactions under 1500 PKR.,/api/agent/transactions/search
Show my total expense vs credit ratio.,/api/agent/summary/expense-income
List all debit transactions matching Careem.,/api/agent/transactions/search
Is my monthly rent budget running out?,/api/agent/analytics/budget
Compare my category spending MoM.,/api/agent/trends/mom
What is my closing balance history.,/api/agent/trends/monthly-balance
What is my ROI on active investments?,/api/agent/analytics/investments
Show my statement analysis results.,/api/agent/analytics/statements
Show investment profit for October in my Alfalah portfolio.,/api/agent/analytics/investments
Retrieve expense and income summary for February.,/api/agent/summary/expense-income
Search all transactions under 100000 PKR.,/api/agent/transactions/search
What did I spend on food in UBL during September?,/api/agent/summary/expense-income
Track my progress for the shopping savings goal.,/api/agent/analytics/savings
Show summaries of statement metadata.,/api/agent/analytics/statements
What is the remaining balance on my fuel budget?,/api/agent/analytics/budget
Summarize my income vs expenses for this month.,/api/agent/summary/expense-income
What are my balances in HBL and JazzCash for April?,/api/agent/overview
Did I make any purchases at Daraz recently?,/api/agent/transactions/search
When will my Meezan balance run out based on trend?,/api/agent/analytics/projections
Show category-wise changes for this month vs last month.,/api/agent/trends/mom
Show my inflow vs outflow trends.,/api/agent/trends/cashflow
When will my Alfalah balance run out based on trend?,/api/agent/analytics/projections
Find transactions over 50000 PKR.,/api/agent/transactions/search
Retrieve my current wallet totals.,/api/agent/overview
What is the remaining balance on my utilities budget?,/api/agent/analytics/budget
What is my cashflow for NBP in November?,/api/agent/trends/cashflow
Get statement report for June for UBL.,/api/agent/analytics/statements
Provide a summary of inflow and outflow for July.,/api/agent/summary/expense-income
What is my current balance in UBL?,/api/agent/overview
Get statement report for January for UBL.,/api/agent/analytics/statements
Show my daily spending projections.,/api/agent/analytics/projections
Find transactions matching KFC from last night.,/api/agent/transactions/search
Have I made any unusually large purchases recently?,/api/agent/analytics/anomalies
Show my savings target completion percentages.,/api/agent/analytics/savings
How close am I to my saving goal of 100000 PKR in NBP?,/api/agent/analytics/savings
